assignment_key,source_url,source_title,source_type,source_accessed_at,evidence_locator,evidence_note
2010-ARI-head_coach-01-17-ken-whisenhunt,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-ARI-quarterbacks_coach-01-17-chris-miller,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 139 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-ATL-head_coach-01-17-mike-smith,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-ATL-offensive_coordinator-01-17-mike-mularkey,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 145 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-BAL-head_coach-01-17-john-harbaugh,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-BAL-offensive_coordinator-01-17-cam-cameron,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 42 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-BAL-quarterbacks_coach-01-17-jim-zorn,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 42 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-BUF-head_coach-01-17-chan-gailey,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-BUF-quarterbacks_coach-01-17-george-cortez,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 48 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CAR-head_coach-01-17-john-fox,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-CAR-offensive_coordinator-01-17-jeff-davidson,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 151 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CAR-quarterbacks_coach-01-17-rip-scherer,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 151 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CHI-head_coach-01-17-lovie-smith,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,nflverse play-by-play 2010,official_release,2026-08-27,"regular-season team games, weeks 1-17",Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-CHI-offensive_coordinator-01-17-mike-martz,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,PDF page 157 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
