coach_id,canonical_name,normalized_name
coach-aaron-glenn,Aaron Glenn,aaron-glenn
coach-aaron-kromer,Aaron Kromer,aaron-kromer
coach-adam-gase,Adam Gase,adam-gase
coach-adam-stenavich,Adam Stenavich,adam-stenavich
coach-al-saunders,Al Saunders,al-saunders
coach-alex-tanney,Alex Tanney,alex-tanney
coach-alex-van-pelt,Alex Van Pelt,alex-van-pelt
coach-andrew-janocko,Andrew Janocko,andrew-janocko
coach-andy-reid,Andy Reid,andy-reid
coach-anthony-lynn,Anthony Lynn,anthony-lynn
coach-antonio-pierce,Antonio Pierce,antonio-pierce
coach-arthur-smith,Arthur Smith,arthur-smith
coach-ashton-grant,Ashton Grant,ashton-grant
coach-austin-davis,Austin Davis,austin-davis
coach-ben-johnson,Ben Johnson,ben-johnson
coach-ben-mcadoo,Ben McAdoo,ben-mcadoo
coach-ben-mcdaniels,Ben McDaniels,ben-mcdaniels
coach-bill-belichick,Bill Belichick,bill-belichick
coach-bill-callahan,Bill Callahan,bill-callahan
coach-bill-lazor,Bill Lazor,bill-lazor
coach-bill-muir,Bill Muir,bill-muir
coach-bill-musgrave,Bill Musgrave,bill-musgrave
coach-bill-o-brien,Bill O'Brien,bill-o-brien
coach-bo-hardegree,Bo Hardegree,bo-hardegree
coach-bob-bratkowski,Bob Bratkowski,bob-bratkowski
coach-bobby-slowik,Bobby Slowik,bobby-slowik
coach-brad-childress,Brad Childress,brad-childress
coach-brad-idzik,Brad Idzik,brad-idzik
coach-brad-kragthorpe,Brad Kragthorpe,brad-kragthorpe
coach-brandon-staley,Brandon Staley,brandon-staley
coach-brian-callahan,Brian Callahan,brian-callahan
coach-brian-daboll,Brian Daboll,brian-daboll
coach-brian-flores,Brian Flores,brian-flores
coach-brian-griese,Brian Griese,brian-griese
coach-brian-johnson,Brian Johnson,brian-johnson
coach-brian-schottenheimer,Brian Schottenheimer,brian-schottenheimer
coach-bruce-arians,Bruce Arians,bruce-arians
coach-bush-hadman,Bush Hadman,bush-hadman
coach-byron-leftwich,Byron Leftwich,byron-leftwich
coach-cam-cameron,Cam Cameron,cam-cameron
coach-cam-turner,Cam Turner,cam-turner
coach-carl-smith,Carl Smith,carl-smith
coach-chan-gailey,Chan Gailey,chan-gailey
coach-charles-london,Charles London,charles-london
coach-charlie-frye,Charlie Frye,charlie-frye
coach-charlie-weis,Charlie Weis,charlie-weis
coach-chip-kelly,Chip Kelly,chip-kelly
coach-chris-beatty,Chris Beatty,chris-beatty
coach-chris-miller,Chris Miller,chris-miller
coach-chris-palmer,Chris Palmer,chris-palmer
coach-chris-tabor,Chris Tabor,chris-tabor
coach-chris-weinke,Chris Weinke,chris-weinke
coach-chuck-pagano,Chuck Pagano,chuck-pagano
coach-clyde-christensen,Clyde Christensen,clyde-christensen
coach-craig-johnson,Craig Johnson,craig-johnson
coach-curtis-modkins,Curtis Modkins,curtis-modkins
coach-d-j-williams,D.J. Williams,d-j-williams
coach-dan-campbell,Dan Campbell,dan-campbell
coach-dan-henning,Dan Henning,dan-henning
coach-dan-pitcher,Dan Pitcher,dan-pitcher
coach-dan-quinn,Dan Quinn,dan-quinn
coach-danny-langsdorf,Danny Langsdorf,danny-langsdorf
coach-darrell-bevell,Darrell Bevell,darrell-bevell
coach-dave-canales,Dave Canales,dave-canales
coach-dave-ragone,Dave Ragone,dave-ragone
coach-david-culley,David Culley,david-culley
coach-david-girardi,David Girardi,david-girardi
coach-david-lee,David Lee,david-lee
coach-davis-webb,Davis Webb,davis-webb
coach-declan-doyle,Declan Doyle,declan-doyle
coach-demeco-ryans,DeMeco Ryans,demeco-ryans
coach-dennis-allen,Dennis Allen,dennis-allen
coach-dirk-koetter,Dirk Koetter,dirk-koetter
coach-doug-marrone,Doug Marrone,doug-marrone
coach-doug-nussmeier,Doug Nussmeier,doug-nussmeier
coach-doug-pederson,Doug Pederson,doug-pederson
coach-dowell-loggains,Dowell Loggains,dowell-loggains
coach-drew-petzing,Drew Petzing,drew-petzing
coach-eddie-faulkner,Eddie Faulkner,eddie-faulkner
coach-edgar-bennett,Edgar Bennett,edgar-bennett
coach-eric-bieniemy,Eric Bieniemy,eric-bieniemy
coach-eric-mangini,Eric Mangini,eric-mangini
coach-eric-studesville,Eric Studesville,eric-studesville
coach-frank-cignetti-jr,Frank Cignetti Jr,frank-cignetti-jr
coach-frank-reich,Frank Reich,frank-reich
coach-frank-scelfo,Frank Scelfo,frank-scelfo
coach-frank-smith,Frank Smith,frank-smith
coach-freddie-kitchens,Freddie Kitchens,freddie-kitchens
coach-gary-kubiak,Gary Kubiak,gary-kubiak
coach-geep-chryst,Geep Chryst,geep-chryst
coach-george-cortez,George Cortez,george-cortez
coach-george-godsey,George Godsey,george-godsey
coach-giff-smith,Giff Smith,giff-smith
coach-glenn-thomas,Glenn Thomas,glenn-thomas
coach-greg-knapp,Greg Knapp,greg-knapp
coach-greg-olson,Greg Olson,greg-olson
coach-greg-roman,Greg Roman,greg-roman
coach-greg-schiano,Greg Schiano,greg-schiano
coach-gregg-williams,Gregg Williams,gregg-williams
coach-gus-bradley,Gus Bradley,gus-bradley
coach-harold-goodwin,Harold Goodwin,harold-goodwin
coach-hue-jackson,Hue Jackson,hue-jackson
coach-israel-woolfork,Israel Woolfork,israel-woolfork
coach-j-t-barrett,J.T. Barrett,j-t-barrett
coach-jack-del-rio,Jack Del Rio,jack-del-rio
coach-james-urban,James Urban,james-urban
coach-jason-garrett,Jason Garrett,jason-garrett
coach-jason-michael,Jason Michael,jason-michael
coach-jay-gruden,Jay Gruden,jay-gruden
coach-jay-rosburg,Jay Rosburg,jay-rosburg
coach-jedd-fisch,Jedd Fisch,jedd-fisch
coach-jeff-davidson,Jeff Davidson,jeff-davidson
coach-jeff-fisher,Jeff Fisher,jeff-fisher
coach-jeff-saturday,Jeff Saturday,jeff-saturday
coach-jeff-tedford,Jeff Tedford,jeff-tedford
coach-jeremy-bates,Jeremy Bates,jeremy-bates
coach-jerod-mayo,Jerod Mayo,jerod-mayo
coach-jerry-schuplinski,Jerry Schuplinski,jerry-schuplinski
coach-jim-bob-cooter,Jim Bob Cooter,jim-bob-cooter
coach-jim-caldwell,Jim Caldwell,jim-caldwell
coach-jim-harbaugh,Jim Harbaugh,jim-harbaugh
coach-jim-schwartz,Jim Schwartz,jim-schwartz
coach-jim-tomsula,Jim Tomsula,jim-tomsula
coach-jim-zorn,Jim Zorn,jim-zorn
coach-jimmy-raye,Jimmy Raye,jimmy-raye
coach-joe-brady,Joe Brady,joe-brady
coach-joe-judge,Joe Judge,joe-judge
coach-joe-lombardi,Joe Lombardi,joe-lombardi
coach-joe-philbin,Joe Philbin,joe-philbin
coach-joe-vitt,Joe Vitt,joe-vitt
coach-john-defilippo,John DeFilippo,john-defilippo
coach-john-fox,John Fox,john-fox
coach-john-harbaugh,John Harbaugh,john-harbaugh
coach-john-mcnulty,John McNulty,john-mcnulty
coach-john-morton,John Morton,john-morton
coach-john-ramsdell,John Ramsdell,john-ramsdell
coach-jon-gruden,Jon Gruden,jon-gruden
coach-jon-kitna,Jon Kitna,jon-kitna
coach-jonathan-gannon,Jonathan Gannon,jonathan-gannon
coach-josh-grizzard,Josh Grizzard,josh-grizzard
coach-josh-mccown,Josh McCown,josh-mccown
coach-josh-mcdaniels,Josh McDaniels,josh-mcdaniels
