assignment_key,season,team_id,coach_id,coach_canonical_name,role,start_week,end_week,start_date,end_date,is_interim,is_shared,is_retained,verification_status,confidence_level,interval_basis,primary_source_url,notes
2010-ARI-head_coach-01-17-ken-whisenhunt,2010,ARI,coach-ken-whisenhunt,Ken Whisenhunt,head_coach,1,17,,,false,false,false,verified,high,observed_game_weeks,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-ARI-quarterbacks_coach-01-17-chris-miller,2010,ARI,coach-chris-miller,Chris Miller,quarterbacks_coach,1,17,,,false,false,false,verified,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-ATL-head_coach-01-17-mike-smith,2010,ATL,coach-mike-smith,Mike Smith,head_coach,1,17,,,false,false,false,verified,high,observed_game_weeks,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-ATL-offensive_coordinator-01-17-mike-mularkey,2010,ATL,coach-mike-mularkey,Mike Mularkey,offensive_coordinator,1,17,,,false,false,false,verified,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-BAL-head_coach-01-17-john-harbaugh,2010,BAL,coach-john-harbaugh,John Harbaugh,head_coach,1,17,,,false,false,false,verified,high,observed_game_weeks,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-BAL-offensive_coordinator-01-17-cam-cameron,2010,BAL,coach-cam-cameron,Cam Cameron,offensive_coordinator,1,17,,,false,false,false,verified,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-BAL-quarterbacks_coach-01-17-jim-zorn,2010,BAL,coach-jim-zorn,Jim Zorn,quarterbacks_coach,1,17,,,false,false,false,verified,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-BUF-head_coach-01-17-chan-gailey,2010,BUF,coach-chan-gailey,Chan Gailey,head_coach,1,17,,,false,false,false,verified,high,observed_game_weeks,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-BUF-quarterbacks_coach-01-17-george-cortez,2010,BUF,coach-george-cortez,George Cortez,quarterbacks_coach,1,17,,,false,false,false,verified,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CAR-head_coach-01-17-john-fox,2010,CAR,coach-john-fox,John Fox,head_coach,1,17,,,false,false,false,verified,high,observed_game_weeks,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-CAR-offensive_coordinator-01-17-jeff-davidson,2010,CAR,coach-jeff-davidson,Jeff Davidson,offensive_coordinator,1,17,,,false,false,false,verified,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CAR-quarterbacks_coach-01-17-rip-scherer,2010,CAR,coach-rip-scherer,Rip Scherer,quarterbacks_coach,1,17,,,false,false,false,verified,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CHI-head_coach-01-17-lovie-smith,2010,CHI,coach-lovie-smith,Lovie Smith,head_coach,1,17,,,false,false,false,verified,high,observed_game_weeks,https://github.com/nflverse/nflverse-data/releases/download/pbp/play_by_play_2010.parquet,Observed head coach on each included regular-season game; interval is first through last observed game week.
2010-CHI-offensive_coordinator-01-17-mike-martz,2010,CHI,coach-mike-martz,Mike Martz,offensive_coordinator,1,17,,,false,false,false,verified,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
2010-CHI-quarterbacks_coach-01-17-shane-day,2010,CHI,coach-shane-day,Shane Day,quarterbacks_coach,1,17,,,false,false,false,verified,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty."
