season,team_id,coach_id,coach_canonical_name,start_week,end_week,audit_status,source_url,notes
2012,BAL,coach-cam-cameron,Cam Cameron,1,14,verified_split,https://www.nfl.com/news/cam-cameron-fired-by-ravens-jim-caldwell-new-oc-0ap1000000108760,Dated league report verifies the in-season offensive-coordinator change.
2012,BAL,coach-jim-caldwell,Jim Caldwell,15,17,verified_split,https://www.nfl.com/news/cam-cameron-fired-by-ravens-jim-caldwell-new-oc-0ap1000000108760,Dated league report verifies the in-season offensive-coordinator change.
2012,TEN,coach-chris-palmer,Chris Palmer,1,12,verified_split,https://www.nfl.com/news/chris-palmer-fired-as-tennessee-titans-o-coordinator-0ap1000000101599,Dated league report verifies the in-season offensive-coordinator change.
2012,TEN,coach-dowell-loggains,Dowell Loggains,13,17,verified_split,https://www.nfl.com/news/chris-palmer-fired-as-tennessee-titans-o-coordinator-0ap1000000101599,Dated league report verifies the in-season offensive-coordinator change.
2015,DET,coach-joe-lombardi,Joe Lombardi,1,7,verified_split,https://www.nfl.com/news/lions-fire-offensive-coordinator-joe-lombardi-0ap3000000566406,Dated league report verifies the in-season offensive-coordinator change.
2015,DET,coach-jim-bob-cooter,Jim Bob Cooter,8,17,verified_split,https://www.nfl.com/news/lions-fire-offensive-coordinator-joe-lombardi-0ap3000000566406,Dated league report verifies the in-season offensive-coordinator change.
2015,IND,coach-pep-hamilton,Pep Hamilton,1,8,verified_split,https://www.nfl.com/news/colts-fire-offensive-coordinator-pep-hamilton-0ap3000000572620,Dated league report verifies the in-season offensive-coordinator change.
2015,IND,coach-rob-chudzinski,Rob Chudzinski,9,17,verified_split,https://www.nfl.com/news/colts-fire-offensive-coordinator-pep-hamilton-0ap3000000572620,Dated league report verifies the in-season offensive-coordinator change.
2016,BAL,coach-marc-trestman,Marc Trestman,1,5,verified_split,https://www.nfl.com/news/ravens-fire-offensive-coordinator-marc-trestman-0ap3000000718709,Dated league report verifies the in-season offensive-coordinator change.
2016,BAL,coach-marty-mornhinweg,Marty Mornhinweg,6,17,verified_split,https://www.nfl.com/news/ravens-fire-offensive-coordinator-marc-trestman-0ap3000000718709,Dated league report verifies the in-season offensive-coordinator change.
2016,JAX,coach-greg-olson,Greg Olson,1,8,verified_split,https://www.nfl.com/news/jaguars-fire-offensive-coordinator-greg-olson-0ap3000000729489,Dated league report verifies the in-season offensive-coordinator change.
2016,JAX,coach-nathaniel-hackett,Nathaniel Hackett,9,17,verified_split,https://www.nfl.com/news/jaguars-fire-offensive-coordinator-greg-olson-0ap3000000729489,Dated league report verifies the in-season offensive-coordinator change.
2016,MIN,coach-norv-turner,Norv Turner,1,8,verified_split,https://www.nfl.com/news/norv-turner-resigns-as-vikings-offensive-coordinator-0ap3000000732550,Dated league report verifies the in-season offensive-coordinator change.
2016,MIN,coach-pat-shurmur,Pat Shurmur,9,17,verified_split,https://www.nfl.com/news/norv-turner-resigns-as-vikings-offensive-coordinator-0ap3000000732550,Dated league report verifies the in-season offensive-coordinator change.
2017,CIN,coach-ken-zampese,Ken Zampese,1,2,verified_split,https://www.bengals.com/news/2017,Official team history states Zampese was released after Game 2.
2017,CIN,coach-bill-lazor,Bill Lazor,3,17,verified_split,https://www.bengals.com/news/2017,Official team history records Lazor's replacement interval as Games 3-16.
2017,DEN,coach-mike-mccoy,Mike McCoy,1,11,verified_split,https://www.nfl.com/news/broncos-fire-offensive-coordinator-mike-mccoy-0ap3000000880175,Dated league report verifies the post-Week 11 play-caller change.
2017,DEN,coach-bill-musgrave,Bill Musgrave,12,17,verified_split,https://www.nfl.com/news/broncos-fire-offensive-coordinator-mike-mccoy-0ap3000000880175,Dated league report gives Bill Musgrave all play-calling duties for the rest of the season.
2017,KC,coach-andy-reid,Andy Reid,1,12,verified_split,https://www.nfl.com/_amp/andy-reid-gives-chiefs-play-calling-role-to-matt-nagy-0ap3000000886304,Dated league report verifies the Week 13 play-calling handoff.
2017,KC,coach-matt-nagy,Matt Nagy,13,17,verified_split,https://www.nfl.com/_amp/andy-reid-gives-chiefs-play-calling-role-to-matt-nagy-0ap3000000886304,Dated league report assigns Matt Nagy play-calling beginning with the Week 13 Jets game.
2017,NYG,coach-ben-mcadoo,Ben McAdoo,1,5,verified_split,https://www.espn.com/nfl/story/_/page/32for32x17115/nfl-2017-playcallers-all-32-nfl-teams-how-their-offense-ranks,Contemporaneous report verifies Mike Sullivan took over from Ben McAdoo in Week 6.
2017,NYG,coach-mike-sullivan,Mike Sullivan,6,10,verified_reported_interval,https://www.espn.com/nfl/story/_/page/32for32x17115/nfl-2017-playcallers-all-32-nfl-teams-how-their-offense-ranks,Contemporaneous report proves the Week 6 handoff and identifies Sullivan through Week 10; later continuity remains provisional.
2017,NYG,coach-mike-sullivan,Mike Sullivan,11,17,provisional_continuation,https://www.espn.com/nfl/story/_/page/32for32x17115/nfl-2017-playcallers-all-32-nfl-teams-how-their-offense-ranks,The November 15 source cannot establish future uninterrupted weekly duty; Weeks 11-17 remain provisional.
2018,ARI,coach-mike-mccoy,Mike McCoy,1,7,verified_split,https://www.nfl.com/news/fantasy-exit-interviews-nfc-west-0ap3000001017002,Dated league retrospective identifies McCoy as caller and bounds his dismissal after Week 7.
2018,ARI,coach-byron-leftwich,Byron Leftwich,8,17,verified_split,https://www.nfl.com/_amp/cardinals-fire-offensive-coordinator-mike-mccoy-0ap3000000975904,Dated league report identifies Leftwich as the new caller after Week 7.
2018,CLE,coach-todd-haley,Todd Haley,1,8,verified_split,https://www.clevelandbrowns.com/news/need-to-know-hue-jackson-ready-to-assist-infuse-himself-as-offense-strives-for-c,Official team reporting confirms Haley retained play-calling before his post-Week 8 dismissal.
2018,CLE,coach-freddie-kitchens,Freddie Kitchens,9,17,verified_split,https://www.clevelandbrowns.com/news/browns-biggest-plays-under-offensive-coordinator-freddie-kitchens-rooted-in-trus,Official team retrospective identifies Week 9 as the play-calling handoff.
2018,JAX,coach-nathaniel-hackett,Nathaniel Hackett,1,12,verified_split,https://www.jaguars.com/news/doug-marrone-monday-november-26-2018,Official team transcript identifies the change after Week 12.
2018,JAX,coach-scott-milanovich,Scott Milanovich,13,17,verified_split,https://www.jaguars.com/news/milanovich-there-s-always-pressure,Official team report identifies Milanovich as caller entering Week 13.
2018,MIN,coach-john-defilippo,John DeFilippo,1,14,verified_split,https://www.vikings.com/news/notebook-defilippo-believes-in-harshly-judging-self,Official team reporting identifies DeFilippo as caller before the final-three-game change.
2018,MIN,coach-kevin-stefanski,Kevin Stefanski,15,17,verified_split,https://www.vikings.com/news/kevin-stefanksi-bringing-varied-offensive-experiences-to-interim-role,Official team report explicitly identifies Stefanski's final-three-game play-calling interval.
