assignment_key,season,team_id,coach_id,coach_canonical_name,role,start_week,end_week,is_interim,is_shared,verification_status,confidence_level,interval_basis,evidence_scope,source_url,source_type,source_accessed_at,evidence_locator,evidence_note,required_terms,weekly_review_required
2010-ARI-quarterbacks_coach-01-17-chris-miller,2010,ARI,coach-chris-miller,Chris Miller,quarterbacks_coach,1,17,false,false,verified,medium,season_designation,formal_title,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-08-27,PDF page 139 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty.",,true
2010-ATL-offensive_coordinator-01-17-mike-mularkey,2010,ATL,coach-mike-mularkey,Mike Mularkey,offensive_coordinator,1,17,false,false,verified,medium,season_designation,formal_title,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-08-27,PDF page 145 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty.",,true
2010-ATL-quarterbacks_coach-01-17-bill-musgrave,2010,ATL,coach-bill-musgrave,Bill Musgrave,quarterbacks_coach,1,17,false,false,verified,medium,season_designation,formal_title,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-09-04,PDF page 145 (assistant-head-coach/quarterbacks listing),Formal preseason staff title: assistant head coach/quarterbacks. The normalized role records explicit quarterback responsibility while preserving the compound title in this note; weeks encode the season designation and do not establish play-calling duty.,,true
2010-BAL-offensive_coordinator-01-17-cam-cameron,2010,BAL,coach-cam-cameron,Cam Cameron,offensive_coordinator,1,17,false,false,verified,medium,season_designation,formal_title,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-08-27,PDF page 42 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty.",,true
2010-BAL-quarterbacks_coach-01-17-jim-zorn,2010,BAL,coach-jim-zorn,Jim Zorn,quarterbacks_coach,1,17,false,false,verified,medium,season_designation,formal_title,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-08-27,PDF page 42 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty.",,true
2010-BUF-offensive_coordinator-01-17-curtis-modkins,2010,BUF,coach-curtis-modkins,Curtis Modkins,offensive_coordinator,1,17,false,false,verified,medium,season_designation,formal_title,https://www.buffalobills.com/team/transactions/2010,official_team,2026-09-04,January 26 2010 transaction,"Official team transaction explicitly names Curtis Modkins offensive coordinator/running backs coach. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty.",Curtis Modkins|offensive coordinator / running backs coach,true
2010-BUF-quarterbacks_coach-01-17-george-cortez,2010,BUF,coach-george-cortez,George Cortez,quarterbacks_coach,1,17,false,false,verified,medium,season_designation,formal_title,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-08-27,PDF page 48 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty.",,true
2010-CAR-offensive_coordinator-01-17-jeff-davidson,2010,CAR,coach-jeff-davidson,Jeff Davidson,offensive_coordinator,1,17,false,false,verified,medium,season_designation,formal_title,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-08-27,PDF page 151 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty.",,true
2010-CAR-quarterbacks_coach-01-17-rip-scherer,2010,CAR,coach-rip-scherer,Rip Scherer,quarterbacks_coach,1,17,false,false,verified,medium,season_designation,formal_title,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-08-27,PDF page 151 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: quarterbacks. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty.",,true
2010-CHI-offensive_coordinator-01-17-mike-martz,2010,CHI,coach-mike-martz,Mike Martz,offensive_coordinator,1,17,false,false,verified,medium,season_designation,formal_title,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-08-27,PDF page 157 (staff page; assistant listing may continue on following pages),"Formal preseason staff title: offensive coordinator. Weeks encode the season designation, not independently observed weekly tenure; does not establish play-calling duty.",,true
