evidence_key,season,team_id,role,start_week,end_week,resolution_status,confidence_level,interval_basis,source_url,source_type,source_accessed_at,evidence_locator,evidence_note,required_terms
2010-ARI-offensive_coordinator-no-role-01-17,2010,ARI,offensive_coordinator,1,17,verified_no_designated_role,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-09-04,PDF page 139 complete staff listing,Complete official staff listing supports no separately designated offensive coordinator; offensive responsibilities were distributed among other documented titles.,
2010-DET-quarterbacks_coach-no-role-01-17,2010,DET,quarterbacks_coach,1,17,verified_no_designated_role,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-09-04,PDF page 169 complete staff listing,Complete official staff listing names only an assistant-quarterbacks position and supports no separately designated primary quarterbacks coach.,
2010-KC-quarterbacks_coach-no-role-01-17,2010,KC,quarterbacks_coach,1,17,verified_no_designated_role,high,season_designation,https://www.nfl.com/news/zorn-lands-with-chiefs-as-qbs-coach-after-firing-by-ravens-09000d5d81e51825,official_league,2026-09-04,Jim Zorn hiring report,Contemporaneous NFL report states the 2010 staff had no separately designated full-time quarterbacks coach and documents how the responsibility was handled.,first full-time quarterback coach|unofficially served
2010-NE-offensive_coordinator-no-role-01-17,2010,NE,offensive_coordinator,1,17,verified_no_designated_role,medium,season_designation,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,official_book_mirror,2026-09-04,PDF page 102 complete staff listing,Complete official staff listing supports no separately designated offensive coordinator.,
2011-CLE-offensive_coordinator-no-role-01-17,2011,CLE,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.nfl.com/news/shurmur-s-browns-to-march-forward-without-an-oc-09000d5d81e4309a,official_league,2026-09-04,Pat Shurmur staff-structure report,Contemporaneous NFL report explicitly supports no separately designated offensive coordinator.,without an OC
2011-DAL-offensive_coordinator-no-role-01-17,2011,DAL,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.dallascowboys.com/news/staff-hires-announced-callahan-gets-oc-title-281741,official_team,2026-09-04,2012 Callahan title announcement,Official retrospective identifies the prior pass-and-run coordinator structure and supports no separately designated offensive coordinator in 2011.,offensive coordinator|split pass-and-run coordinator titles last year
2011-DET-quarterbacks_coach-no-role-01-17,2011,DET,quarterbacks_coach,1,17,verified_no_designated_role,medium,season_designation,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202011%20-%20Record%20%26%20Fact%20Book.pdf,official_book_mirror,2026-09-04,PDF page 169 complete staff listing,Complete official staff listing names only an assistant-quarterbacks position and supports no separately designated primary quarterbacks coach.,
2012-MIA-quarterbacks_coach-no-role-01-17,2012,MIA,quarterbacks_coach,1,17,verified_no_designated_role,medium,season_designation,https://media.miamidolphins.com/wp-content/uploads/2016/08/2014-Media-Guide.pdf,official_team_media_guide,2026-09-04,Coaching biography and complete staff listing,Official team media guide identifies only an assistant-quarterbacks title and supports no separately designated primary quarterbacks coach.,
2014-HOU-offensive_coordinator-no-role-01-17,2014,HOU,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.nfl.com/news/bill-o-brien-s-texans-roll-with-no-offensive-coordinator-0ap2000000324214,official_league,2026-09-04,Bill O'Brien staff-structure report,Contemporaneous NFL report explicitly supports no separately designated offensive coordinator.,no offensive coordinator
2014-WAS-quarterbacks_coach-no-role-01-17,2014,WAS,quarterbacks_coach,1,17,verified_no_designated_role,medium,season_designation,https://media.washington.1rmg.com/wp-content/uploads/2018/03/16041116/2014_Washington_Redskins_Media_Guide_Online.pdf,official_team_media_guide,2026-09-04,Complete 2014 coaching-staff listing,The official team media guide's complete coaching-staff listing contains no separately designated quarterbacks coach; absence-based evidence is retained at medium confidence.,
2016-CLE-offensive_coordinator-no-role-01-17,2016,CLE,offensive_coordinator,1,17,verified_no_designated_role,high,season_designation,https://www.clevelandbrowns.com/news/browns-complete-offensive-special-teams-staffs-16735063,official_team,2026-09-04,Complete offensive staff announcement,Official complete staff announcement supports no separately designated offensive coordinator and preserves Pep Hamilton's associate-head-coach offense title.,Pep Hamilton|associate head coach - offense
2016-CLE-quarterbacks_coach-no-role-01-17,2016,CLE,quarterbacks_coach,1,17,verified_no_designated_role,high,season_designation,https://www.clevelandbrowns.com/news/browns-complete-offensive-special-teams-staffs-16735063,official_team,2026-09-04,Complete offensive staff announcement,Official complete staff announcement supports no separately designated quarterbacks coach.,Browns complete offensive|Pep Hamilton
2016-JAX-quarterbacks_coach-no-role-09-17,2016,JAX,quarterbacks_coach,9,17,verified_no_designated_role,medium,observed_game_weeks,https://www.huddle.org/wp-content/uploads/2016/11/2016-9-Jacksonville.pdf,official_gamebook_mirror,2026-09-04,Week 9 post-promotion gamebook staff listing,Post-promotion official gamebook staff listing supports no separately designated quarterbacks coach after Nathaniel Hackett became offensive coordinator.,
