review_id,season,team_id,role,issue_type,candidate_names,priority,status,source_url,notes
2010-ARI-offensive_coordinator,2010,ARI,offensive_coordinator,missing_formal_role,NO_SEPARATELY_DESIGNATED_ROLE,medium,resolved,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,Independent audit resolved every regular-season week with source-backed person intervals and/or verified no-separately-designated-role evidence; see coaching_evidence_11b.csv and coaching_no_role_evidence_11b.csv.
2010-ARI-play_caller,2010,ARI,play_caller,explicit_play_caller_evidence_required,Ken Whisenhunt,high,resolved,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/whisenhunt-not-giving-up-playcalling-duties,Independent audit found a direct 2010 regular-season play-calling statement; the record represents the primary caller and does not claim sole play-design input.
2010-ARI-quarterbacks_coach-interval,2010,ARI,quarterbacks_coach,season_interval_verification_required,Chris Miller,medium,open,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Preseason designation is sourced, but weekly tenure requires dated in-season or retrospective evidence."
2010-ATL-offensive_coordinator-interval,2010,ATL,offensive_coordinator,season_interval_verification_required,Mike Mularkey,medium,open,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Preseason designation is sourced, but weekly tenure requires dated in-season or retrospective evidence."
2010-ATL-play_caller,2010,ATL,play_caller,explicit_play_caller_evidence_required,,high,open,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,Staff title is not evidence of play-calling duty; locate dated team or league reporting and assignment interval.
2010-ATL-quarterbacks_coach,2010,ATL,quarterbacks_coach,missing_formal_role,Bill Musgrave,medium,resolved,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,Independent audit resolved every regular-season week with source-backed person intervals and/or verified no-separately-designated-role evidence; see coaching_evidence_11b.csv and coaching_no_role_evidence_11b.csv.
2010-BAL-offensive_coordinator-interval,2010,BAL,offensive_coordinator,season_interval_verification_required,Cam Cameron,medium,open,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Preseason designation is sourced, but weekly tenure requires dated in-season or retrospective evidence."
2010-BAL-play_caller,2010,BAL,play_caller,explicit_play_caller_evidence_required,Cam Cameron,high,resolved,https://www.baltimoreravens.com/news/cameron-s-take-on-stresses-of-coaching-7746324,Independent audit found official team and direct coach evidence for Cam Cameron's 2010 play-calling responsibility.
2010-BAL-quarterbacks_coach-interval,2010,BAL,quarterbacks_coach,season_interval_verification_required,Jim Zorn,medium,open,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,"Preseason designation is sourced, but weekly tenure requires dated in-season or retrospective evidence."
2010-BUF-offensive_coordinator,2010,BUF,offensive_coordinator,missing_formal_role,Curtis Modkins,medium,resolved,https://www.buffalobills.com/team/transactions/2010,Independent audit resolved every regular-season week with source-backed person intervals and/or verified no-separately-designated-role evidence; see coaching_evidence_11b.csv and coaching_no_role_evidence_11b.csv.
