evidence_id,source_url,source_title,assignment_keys,required_terms
2010-jason-garrett-interim,https://www.nfl.com/news/cowboys-remove-interim-tag-make-garrett-their-coach-09000d5d81d7fd38,"Cowboys remove interim tag, make Garrett their coach",2010-DAL-head_coach-10-17-jason-garrett,interim coach|gave Garrett his audition
2010-leslie-frazier-interim,https://www.nfl.com/news/vikings-owners-have-yet-to-address-frazier-s-coaching-future-09000d5d81d51369,Vikings owners have yet to address Frazier's coaching future,2010-MIN-head_coach-12-17-leslie-frazier,interim coach|after the season
2011-romeo-crennel-interim,https://www.nfl.com/news/chiefs-eye-playoffs-under-crennel-after-firing-haley-as-coach-09000d5d824fcf5c,Chiefs eye playoffs under Crennel after firing Haley as coach,2011-KC-head_coach-15-17-romeo-crennel,interim coach Romeo Crennel at the helm|three games left in the season
2016-doug-marrone-interim,https://www.nfl.com/news/jacksonville-jaguars-name-doug-marrone-interim-coach-0ap3000000759745,Jacksonville Jaguars name Doug Marrone interim coach,2016-JAX-head_coach-16-17-doug-marrone,interim head coach|final two weeks
2020-ARI-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-ARI-play_caller-01-17-kliff-kingsbury,2020 NFL Play-Callers|Arizona Cardinals|Kliff Kingsbury|Play-Caller
2020-ATL-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-ATL-play_caller-01-17-dirk-koetter,2020 NFL Play-Callers|Atlanta Falcons|Dirk Koetter|Play-Caller
2020-BAL-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-BAL-play_caller-01-17-greg-roman,2020 NFL Play-Callers|Baltimore Ravens|Greg Roman|Play-Caller
2020-BUF-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-BUF-play_caller-01-17-brian-daboll,2020 NFL Play-Callers|Buffalo Bills|Brian Daboll|Play-Caller
2020-CAR-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-CAR-play_caller-01-17-joe-brady,2020 NFL Play-Callers|Carolina Panthers|Joe Brady|Play-Caller
2020-CHI-play-caller-designation,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,How Play-Calling Tendencies Affect Fantasy Football (2020),2020-CHI-play_caller-01-17-matt-nagy,2020 NFL Play-Callers|Chicago Bears|Matt Nagy|Play-Caller
