season,source_url,source_title,source_type,accessed_at,sha256,local_raw_committed
2010,https://nyc3.digitaloceanspaces.com/sportsarchive-documents/prod/60e8d5ec49e0c/494499963-2010-NFL-Record-Fact-Book.pdf,2010 NFL Record & Fact Book,official_book_mirror,2026-08-27,a789f7a252e9d5aa067cb8adf33d25dc10393d0a1394ecce9b89f0d643cf35ff,false
2011,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202011%20-%20Record%20%26%20Fact%20Book.pdf,2011 NFL Record & Fact Book,official_book_mirror,2026-08-27,18c6a4bd9e850876e14507856ac92215e0c5cc9af98448b6bd8d488806c16686,false
2012,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202012%20-%20Record%20%26%20Fact%20Book.pdf,2012 NFL Record & Fact Book,official_book_mirror,2026-08-27,b4616a37cbd090458f46ef211bd3955143ba3597a328a5a70b406a11a1ffa49e,false
2013,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202013%20-%20Record%20%26%20Fact%20Book.pdf,2013 NFL Record & Fact Book,official_book_mirror,2026-08-27,333899b212ef0f3aca6009c0e747c4764c6c2bc05b2b6ee03f0d8d6892fad58b,false
2014,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202014%20-%20Record%20%26%20Fact%20Book.pdf,2014 NFL Record & Fact Book,official_book_mirror,2026-08-27,c1e8c6a34c5bec9f07cc34bc5a9cd3cafa2aae909b012aedf73d85a8e3ca0996,false
2015,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202015%20-%20Record%20%26%20Fact%20Book.pdf,2015 NFL Record & Fact Book,official_book_mirror,2026-08-27,608aaba11fcf10a399ac94a0e923a6a90df71792346095bb49863c547fe499a5,false
2016,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202016%20-%20Record%20%26%20Fact%20Book.pdf,2016 NFL Record & Fact Book,official_book_mirror,2026-08-27,0bf80d691a875947fce5bb22f1f292ca32d3b7690700849b4123b2fa0209b7ac,false
2017,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202017%20-%20Record%20%26%20Fact%20Book.pdf,2017 NFL Record & Fact Book,official_book_mirror,2026-08-27,172c1bb1f9434bdd28bdbf70816807b0bda324630e0b622ae09aa58921477610,false
2018,https://static.clubs.nfl.com/image/upload/saints/cppryvovnkj3awae4uju.pdf,2018 NFL Record & Fact Book,official_release,2026-08-27,ab35248d17ce0d8fba6fcb620c4b9feee5c8f801d6da81b00488c39e628b5bdf,false
2019,https://static.www.nfl.com/image/upload/league/f60ftapcsbynqgymw72q.pdf,2019 NFL Record & Fact Book,official_release,2026-08-27,4543438ae7798bfe1cb353e26834674469945b0f998b8d14116fb50c4b044037,false
2020,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202020%20-%20Record%20%26%20Fact%20Book.pdf,2020 NFL Record & Fact Book,official_book_mirror,2026-08-27,f841138e94e3b78a3d68fee0a11721334d5ba8ddfa8323660f7d2caf06c78d9f,false
2021,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202021%20-%20Record%20%26%20Fact%20Book.pdf,2021 NFL Record & Fact Book,official_book_mirror,2026-08-27,602e8a49c644835cf7370ddb492d04a04e50474c8b457ff458ffa68a0b00884f,false
2022,https://static.www.nfl.com/league/apps/league-site/media-guides/2022/2022_NFL_Record_and_Fact_Book.pdf,2022 NFL Record & Fact Book,official_release,2026-08-27,2ac43ea76cdbbb07b1ba8b09a658feeebe10e8acfb76aa0ba5b8cf22c2cdc157,false
2023,https://basement.crucifyd.com/zone/seahawks/record-fact/NFL%20-%202023%20-%20Record%20%26%20Fact%20Book.pdf,2023 NFL Record & Fact Book,official_book_mirror,2026-08-27,9e37a433034878eef40e4b79a799982d4a757c61b6586bb8e8020497c9699634,false
2024,https://static.www.nfl.com/image/upload/league/apps/league-site/media-guides/2024/2024_Record_and_Fact_Book_incl_Supplemental.pdf,2024 NFL Record & Fact Book,official_release,2026-08-27,ed58911ff56141c9bb7c31f7c5b46f59ef5fe70790f35f6a7c566b36c1ff7c88,false
2025,https://static.clubs.nfl.com/image/upload/patriots/fvc6qgwyqlztq1muztpi.pdf,2025 NFL Record & Fact Book,official_release,2026-08-27,d2553d863326656be1b5d1bc8f4c7f0f53b266240b22054b88caa13520f26f23,false
