priority_rank,batch,season,team_id,coach_id,coach_canonical_name,start_week,end_week,interval_status,cell_status,is_shared,source_family,primary_source_url,secondary_source_url,evidence_summary,continuity_basis
1,top25,2021,BAL,coach-greg-roman,Greg Roman,1,18,verified,verified,false,official_team,https://www.baltimoreravens.com/news/john-harbaugh-is-moving-forward-with-greg-roman,https://www.nfl.com/news/greg-roman-defenses-calling-out-plays-is-nothing-new-and-part-of-the-chess-match,Official post-season team article states Roman had been Baltimore's offensive play-caller for the prior three years and discusses the injury-affected 2021 season.,retrospective_full_season
2,top25,2022,TB,coach-byron-leftwich,Byron Leftwich,1,18,verified,verified,false,nfl_league,https://www.nfl.com/news/buccaneers-fire-offensive-coordinator-byron-leftwich-after-four-seasons,https://www.nfl.com/news/byron-leftwich-clarifies-he-ll-continue-to-handle-offensive-game-plan-i-m-no-ris,NFL post-season account evaluates Leftwich's play-calling throughout the 2022 campaign and records his dismissal only after the season.,retrospective_full_season
3,top25,2021,DAL,coach-kellen-moore,Kellen Moore,1,18,verified,verified,false,reputable_retrospective,https://apnews.com/article/d4589c67b4404014b13d879c4778fcf2,https://www.dallascowboys.com/news/how-a-camera-changed-the-cowboys-final-call,AP retrospectively identifies Moore as Prescott's caller for four Dallas seasons including all three McCarthy seasons from 2020 through 2022.,retrospective_multi_season
4,top25,2022,ARI,coach-kliff-kingsbury,Kliff Kingsbury,1,18,provisional,provisional,false,official_team,https://www.azcardinals.com/news/kliff-kingsbury-i-d-consider-giving-up-playcalling,https://arizonasports.com/nfl/arizona-cardinals/kliff-kingsbury-will-remain-arizona-cardinals-play-caller-vs-vikings,Direct October evidence identifies Kingsbury as caller and confirms the Week 8 plan but does not establish uninterrupted Weeks 1-18 continuity.,bounded_midseason_only
5,top25,2022,WAS,coach-scott-turner,Scott Turner,1,18,verified,verified,false,official_team_and_reporting,https://www.commanders.com/news/scott-turner-to-call-plays-from-sideline-rather-than-booth-for-commanders,https://www.washingtonpost.com/sports/2023/01/07/scott-turner-commanders-play-calling/,Official preseason evidence and contemporaneous Week 18 reporting independently identify Turner as caller at both season boundaries with no sourced handoff.,boundary_corroborated_full_season
6,top25,2021,BUF,coach-brian-daboll,Brian Daboll,1,18,verified,verified,false,official_team,https://www.buffalobills.com/news/subtle-adjustments-creativity-help-brian-daboll-evolve-buffalo-s-offense-for-the,https://static.www.nfl.com/league/apps/league-site/media-guides/2023/NYG.pdf,Official late-season article calls Daboll Buffalo's offensive play caller and the Giants media guide retrospectively says he called plays for Buffalo's three consecutive playoff teams.,retrospective_full_season
7,top25,2021,TB,coach-byron-leftwich,Byron Leftwich,1,18,verified,verified,false,nfl_league,https://www.nfl.com/news/buccaneers-fire-offensive-coordinator-byron-leftwich-after-four-seasons,https://fantasydata.com/all-32-nfl-coaching-schemes-for-the-2021-season,NFL retrospective explicitly attributes the 2021 Tampa offense to Leftwich's play-calling tenure.,retrospective_full_season
8,top25,2021,TEN,coach-todd-downing,Todd Downing,1,18,provisional,provisional,false,official_team,https://www.tennesseetitans.com/news/offensive-coordinator-todd-downing,https://static.clubs.nfl.com/image/upload/titans/gpjuxmi8xdt2juigkifg,Official August transcript establishes Downing calling plays but the sources do not independently prove uninterrupted full-season continuity.,preseason_or_early_only
9,top25,2021,KC,coach-eric-bieniemy,Eric Bieniemy,1,18,unresolved,unresolved,true,nfl_league_and_reporting,https://www.nfl.com/news/chiefs-oc-eric-bieniemy-yes-i-do-want-to-be-a-head-coach,https://time.com/6255798/eric-bieniemy-nfl-black-coaches/,Evidence describes Reid as primary caller while Bieniemy also called plays; no reliable weekly division supports individual attribution.,shared_boundaries_unresolved
10,top25,2020,LAC,coach-shane-steichen,Shane Steichen,1,17,verified,verified,false,contemporaneous_reporting,https://www.latimes.com/sports/chargers/story/2020-01-06/chargers-expected-to-keep-shane-steichen-as-offensive-coordinator,https://www.chargers.com/news/los-angeles-chargers-announce-changes-additions-to-coaching-staff,Contemporaneous reporting names Steichen as retained 2020 caller and official later material describes 2020 as his first full coordinator/caller season.,retrospective_full_season
11,top25,2022,MIN,coach-kevin-o-connell,Kevin O'Connell,1,18,verified,verified,false,official_team,https://www.vikings.com/news/kevin-oconnell-nfl-league-owners-meeting-2023,https://media.vikingsplaybook.com/wp-content/uploads/2023/07/26180912/2023_TCPlaybook-digital.pdf,Official 2023 material describes O'Connell as Minnesota's game play caller and identifies 2022 as the preceding season with that same caller.,retrospective_full_season
12,top25,2021,ARI,coach-kliff-kingsbury,Kliff Kingsbury,1,5,verified,partial,false,official_team,https://www.azcardinals.com/news/spencer-whipple-makes-most-of-chance-as-cardinals-playcaller,https://www.azcardinals.com/news/kliff-kingsbury-becomes-success-story-with-cardinals,Official team account identifies Kingsbury as head coach and playcaller before his COVID absence.,bounded_pre_absence
12,top25,2021,ARI,coach-spencer-whipple,Spencer Whipple,6,6,verified,partial,false,official_team,https://www.azcardinals.com/news/spencer-whipple-makes-most-of-chance-as-cardinals-playcaller,,Official team account states Whipple was the play caller and called the Week 6 Cleveland game while Kingsbury was absent.,single_game_direct
12,top25,2021,ARI,coach-kliff-kingsbury,Kliff Kingsbury,7,18,provisional,partial,false,official_team,https://www.azcardinals.com/news/spencer-whipple-makes-most-of-chance-as-cardinals-playcaller,https://www.azcardinals.com/video/0915-kliff-kingsbury-press-pass,Return to the role is supported but uninterrupted Weeks 7-18 continuity was not independently established.,post_absence_continuity_unresolved
13,top25,2020,DAL,coach-kellen-moore,Kellen Moore,1,17,verified,verified,false,reputable_retrospective,https://apnews.com/article/d4589c67b4404014b13d879c4778fcf2,https://www.dallascowboys.com/news/mccarthy-expects-that-moore-will-call-plays,AP retrospectively identifies Moore as Dallas caller throughout 2020-22 and official team material records the 2020 assignment.,retrospective_multi_season
14,top25,2022,PHI,coach-shane-steichen,Shane Steichen,1,18,verified,verified,false,official_team,https://www.philadelphiaeagles.com/news/shane-steichen-playcalling-duties-aj-brown-jalen-hurts,https://www.philadelphiaeagles.com/video/shane-steichen-press-conference-june-3-2022,Official team interview identifies Steichen as play caller and states he would call the 2022 plays; subsequent team and hiring records preserve that season-long role.,retrospective_full_season
15,top25,2022,DAL,coach-kellen-moore,Kellen Moore,1,18,verified,verified,false,reputable_retrospective,https://apnews.com/article/d4589c67b4404014b13d879c4778fcf2,https://static.clubs.nfl.com/image/upload/chargers/l7nksa8ewteme1mff6v2,AP retrospectively identifies Moore as Dallas caller for the full 2020-22 McCarthy period.,retrospective_multi_season
16,top25,2022,PIT,coach-matt-canada,Matt Canada,1,18,provisional,provisional,false,official_team,https://www.steelers.com/news/plenty-to-work-with,https://static.www.nfl.com/image/upload/league/apps/league-site/media-guides/2022/PIT.pdf,Official evidence supports Canada calling in 2022 but does not independently establish every weekly boundary.,season_designation_without_continuity
17,top25,2022,CLE,coach-kevin-stefanski,Kevin Stefanski,1,18,provisional,provisional,false,nfl_league,https://www.nfl.com/videos/kevin-stefanski-confirms-he-ll-still-call-offensive-plays-for-browns-in-2022,,Direct preseason statement supports the intended caller but not uninterrupted season continuity.,preseason_designation_only
18,top25,2021,PIT,coach-matt-canada,Matt Canada,1,18,provisional,provisional,false,official_team,https://www.steelers.com/news/camp-blog-staying-fast,https://www.steelers.com/news/asked-and-answered-dec-9,Official preseason and December material identify Canada in the calling process but quarterback/no-huddle control prevents a sole uninterrupted attribution claim.,shared_or_qb_override_uncertain
19,top25,2021,CAR,coach-joe-brady,Joe Brady,1,12,verified,verified,false,official_team_and_nfl,https://www.nfl.com/_amp/panthers-hc-matt-rhule-decision-to-fire-oc-joe-brady-purely-football-related,https://www.panthers.com/news/jeff-nixon-hoping-to-make-more-highlight-reels,Preseason caller designation plus dated firing bounds Brady through Week 12; Week 13 was Carolina's bye.,bounded_by_dated_handoff
19,top25,2021,CAR,coach-jeff-nixon,Jeff Nixon,14,18,verified,verified,false,official_team_and_nfl,https://www.panthers.com/news/jeff-nixon-hoping-to-make-more-highlight-reels,https://www.nfl.com/_amp/panthers-hc-matt-rhule-decision-to-fire-oc-joe-brady-purely-football-related,Official team and NFL sources state Nixon took over play calling for the final five games.,dated_handoff_remainder
20,top25,2022,IND,coach-frank-reich,Frank Reich,1,9,verified,verified,false,nfl_league,https://www.nfl.com/_amp/colts-expected-to-name-parks-frazier-as-new-offensive-play-caller,https://www.colts.com/news/parks-frazier-offensive-play-caller-jeff-saturday-interim-head-coach,NFL and official team sources identify Reich as prior caller and his firing after Week 9 bounds the interval.,bounded_by_dated_handoff
20,top25,2022,IND,coach-parks-frazier,Parks Frazier,10,18,verified,verified,false,official_team,https://www.colts.com/news/parks-frazier-offensive-play-caller-jeff-saturday-interim-head-coach,https://www.colts.com/news/parks-frazier-offensive-playcaller-matt-ryan-jeff-saturday-raiders,Official team announcement assigns Frazier as play caller from Week 10 for the remainder of 2022.,dated_handoff_remainder
21,top25,2022,KC,coach-andy-reid,Andy Reid,1,18,verified,verified,false,reputable_retrospective,https://time.com/6255798/eric-bieniemy-nfl-black-coaches/,https://www.kansascity.com/sports/nfl/kansas-city-chiefs/article268580682.html,Contemporaneous/post-season reporting distinguishes Reid as Kansas City's primary offensive caller from Bieniemy's substantial collaborative role.,retrospective_full_season
22,top25,2022,DET,coach-ben-johnson,Ben Johnson,1,18,verified,verified,false,nfl_league_retrospective,https://www.nfl.com/_amp/lions-oc-ben-johnson-explains-decision-to-return-to-detroit-it-just-made-sense-d,https://www.detroitlions.com/news/key-questions-who-will-call-plays-for-lions-offense-this-season,NFL retrospective attributes Detroit's 2022 creative play-calling to Johnson; the official preseason article records that the choice had not yet been announced and supersedes the preseason Dan Campbell projection.,retrospective_full_season
23,top25,2022,NYG,coach-mike-kafka,Mike Kafka,1,18,verified,verified,false,official_team,https://www.giants.com/news/brian-daboll-mike-kafka-offensive-coordinator-week-1-tennessee-titans-playcaller,https://www.nfl.com/news/giants-oc-mike-kafka-not-hc-brian-daboll-to-call-plays-during-2022-season,Official team and NFL announcements name Kafka the regular-season caller and later season records identify no handoff.,regular_season_announcement_corroborated
24,top25,2020,LA,coach-sean-mcvay,Sean McVay,1,17,verified,verified,false,official_team,https://www.therams.com/news/sean-mcvay-discusses-covid-19-contingency-plans-for-coaches,https://www.therams.com/news/week-10-preview-rams-seahawks-sofi-stadium-week-10,Official preseason and Week 10 team articles identify McVay as the offensive play caller; no replacement interval is reported.,boundary_corroborated_full_season
25,top25,2021,MIN,coach-klint-kubiak,Klint Kubiak,1,18,verified,verified,false,official_team,https://www.vikings.com/news/klint-kubiak-offensive-coordinator,https://media.vikingsplaybook.com/wp-content/uploads/2021/12/08102431/09_Playbook_LAR_digital_FINAL.pdf,Official announcement names Kubiak Minnesota's 2021 caller and late-season official material continues to attribute the offense to him.,boundary_corroborated_full_season
,additional,2020,TB,coach-byron-leftwich,Byron Leftwich,1,17,verified,verified,false,official_team_and_nfl,https://www.buccaneers.com/news/bruce-arians-breaks-down-play-calling-what-jameis-winston-likes-best-carmen-catc,https://www.nfl.com/news/buccaneers-fire-offensive-coordinator-byron-leftwich-after-four-seasons,Official transfer of calling responsibility and NFL retrospective identify Leftwich's uninterrupted four-year 2019-22 tenure.,retrospective_multi_season
,additional,2020,BAL,coach-greg-roman,Greg Roman,1,17,verified,verified,false,official_team,https://www.baltimoreravens.com/news/john-harbaugh-is-moving-forward-with-greg-roman,,Official post-season article states Roman had been Baltimore's caller for the prior three seasons.,retrospective_multi_season
,additional,2020,BUF,coach-brian-daboll,Brian Daboll,1,17,verified,verified,false,official_media_guide,https://static.www.nfl.com/league/apps/league-site/media-guides/2023/NYG.pdf,,Official Giants media guide identifies Daboll as the play caller who devised game plans and called plays for Buffalo's three consecutive playoff teams.,retrospective_multi_season
,additional,2020,KC,coach-andy-reid,Andy Reid,1,17,verified,verified,false,nfl_game_release_and_reporting,https://static.clubs.nfl.com/image/upload/saints/fltlri2pdip4fwtcox86.pdf,https://www.nfl.com/news/chiefs-oc-eric-bieniemy-yes-i-do-want-to-be-a-head-coach,Official game release distinguishes Reid as primary caller while Bieniemy contributed calls in every game; individual attribution is to the primary caller only.,primary_caller_with_collaboration
,additional,2020,MIN,coach-gary-kubiak,Gary Kubiak,1,17,verified,verified,false,official_team_and_nfl,https://www.nfl.com/news/vikes-kubiak-excited-to-call-plays-i-never-lost-the-joy-0ap3000001101800,https://www.vikings.com/news/klint-kubiak-offensive-coordinator,NFL and official team records identify Gary Kubiak as Minnesota's 2020 caller and his son as the 2021 replacement.,retrospective_full_season
,additional,2022,DEN,coach-nathaniel-hackett,Nathaniel Hackett,1,10,verified,verified,false,nfl_league,https://www.nfl.com/_amp/broncos-coach-nathaniel-hackett-turns-over-play-calling-duties-klint-kubiak,,NFL dated handoff identifies Hackett as caller through Week 10.,bounded_by_dated_handoff
