research_order,batch,source_priority_rank,season,team_id,candidate_coach_name,starting_status,ending_status,coach_id,coach_canonical_name,start_week,end_week,interval_status,is_shared,source_url,corroborating_source_url,source_title,source_publisher,publication_date,source_family,evidence_locator,evidence_summary,proves_identity,proves_initial_designation,proves_continuity,proves_transition,proves_shared_duties,contradictory_evidence,research_notes,recoverability,disposition
1,mandatory_top10,1,2021,CHI,Matt Nagy,provisional,verified,coach-matt-nagy,Matt Nagy,1,3,verified,false,https://chicago.suntimes.com/bears/2021/9/10/22667117/matt-nagy-play-calling-bill-lazor-andy-dalton-mitchell-trubisky-nick-foles-justin-fields-rams,https://chicago.suntimes.com/bears/2021/10/3/22707952/bears-victory-soothes-matt-nagy-wounded-pride,Matt Nagy will call plays for Bears in opener,Chicago Sun-Times,2021-09-10,major_reporting,opening designation and Week 4 handoff,Nagy was the caller through Week 3 before Bill Lazor took over in Week 4.,true,true,false,true,false,,Exact handoff bounds the opening interval.,high,accepted
1,mandatory_top10,1,2021,CHI,Matt Nagy,provisional,verified,coach-bill-lazor,Bill Lazor,4,14,verified,false,https://chicago.suntimes.com/bears/2021/10/3/22707952/bears-victory-soothes-matt-nagy-wounded-pride,https://www.chicagobears.com/news/3-things-that-stood-out-to-nagy-in-week-12-win-thanksgiving-lions-dalton-byrd,Bears victory soothes Matt Nagy's wounded pride,Chicago Sun-Times,2021-10-03,major_reporting,Week 4 handoff and Week 12 continuity,Lazor took over the calls in Week 4 and remained identified as caller through Week 12; the next sourced exception was Week 15.,true,false,true,true,false,,Weeks 4-14 are bounded by the handoff and the Week 15 temporary exception.,high,accepted
1,mandatory_top10,1,2021,CHI,Matt Nagy,provisional,verified,coach-matt-nagy,Matt Nagy,15,15,verified,false,https://www.cbssports.com/nfl/gametracker/recap/NFL_20211220_MIN%40CHI/,https://www.chicagobears.com/news/5-things-we-learned-from-bears-coordinators-robert-quinn-roquan-smith,Vikings beat Bears 17-9 in Monday night matchup,Associated Press via CBS Sports,2021-12-21,major_reporting,Week 15 COVID staff exception,Nagy called the offensive plays in Week 15 while Lazor was unavailable and Chicago subsequently documented Lazor's return.,true,false,false,true,false,,This is a one-game temporary interval.,high,accepted
1,mandatory_top10,1,2021,CHI,Matt Nagy,provisional,verified,coach-bill-lazor,Bill Lazor,16,18,verified,false,https://www.chicagobears.com/news/5-things-we-learned-from-bears-coordinators-robert-quinn-roquan-smith,https://www.chicagobears.com/news/3-things-that-stood-out-to-nagy-in-week-12-win-thanksgiving-lions-dalton-byrd,5 things we learned from Bears coordinators,Chicago Bears,2021-12-23,official_team,Lazor return after Week 15,Lazor explicitly resumed play-calling after the single-game COVID absence and kept the duty through the remaining regular season.,true,false,true,true,false,,The official return closes the temporary Week 15 exception.,high,accepted
2,mandatory_top10,2,2020,ARI,Kliff Kingsbury,provisional,verified,coach-kliff-kingsbury,Kliff Kingsbury,1,17,verified,false,https://www.azcardinals.com/news/as-coach-kliff-kingsbury-understands-playcalling-under-microscope,https://www.azcardinals.com/news/kliff-kingsbury-opens-up-about-call-he-d-like-back-rams-ringer,As coach Kliff Kingsbury understands playcalling under microscope,Arizona Cardinals,2020-11-09,official_team,midseason direct caller evidence and postseason retrospective,Official contemporary and retrospective accounts identify Kingsbury as Arizona's caller throughout 2020 with no sourced handoff.,true,true,true,false,false,,Boundary and retrospective evidence support the full regular season.,high,accepted
3,mandatory_top10,3,2020,ATL,Dirk Koetter,provisional,verified,coach-dirk-koetter,Dirk Koetter,1,17,verified,false,https://www.atlantafalcons.com/news/dirk-koetter-i-ll-be-a-better-coach-in-year-2-in-falcons-system,https://www.ajc.com/sports/atlanta-falcons/koetter-goes-over-late-sequence-from-falcons-loss-to-saints/MTILQPBF4FBWPBPSVD43J4ZWEE/,Dirk Koetter: I'll be a better coach in Year 2 in Falcons system,Atlanta Falcons,2020-06-02,official_team,preseason designation and December call review,Koetter entered 2020 as caller and personally reviewed his late-season calls in December; no handoff was found.,true,true,true,false,false,,Two-season-boundary checks support continuity.,high,accepted
4,mandatory_top10,4,2022,JAX,Doug Pederson,provisional,partial,coach-doug-pederson,Doug Pederson,1,18,verified,true,https://www.nfl.com/news/jaguars-oc-press-taylor-to-debut-as-new-full-time-play-caller-in-2023,https://www.jaguars.com/news/oc-press-taylor-speaking-the-same-language,Jaguars OC Press Taylor to debut as new full-time play-caller in 2023,NFL,2023-07-17,nfl_league,retrospective description of 2022 split,Pederson and Press Taylor divided play-calling by half during 2022; the evidence does not support individual play attribution.,true,false,true,false,true,,Shared full-season duty is retained and excluded from individual PCAE.,medium,accepted_shared
4,mandatory_top10,4,2022,JAX,Doug Pederson,provisional,partial,coach-press-taylor,Press Taylor,1,18,verified,true,https://www.nfl.com/news/jaguars-oc-press-taylor-to-debut-as-new-full-time-play-caller-in-2023,https://www.jaguars.com/news/oc-press-taylor-speaking-the-same-language,Jaguars OC Press Taylor to debut as new full-time play-caller in 2023,NFL,2023-07-17,nfl_league,retrospective description of 2022 split,Press Taylor shared the 2022 calls by half with Pederson; the evidence does not create a defensible individual split.,true,false,true,false,true,,Shared full-season duty is retained and excluded from individual PCAE.,medium,accepted_shared
5,mandatory_top10,5,2021,WAS,Scott Turner,provisional,verified,coach-scott-turner,Scott Turner,1,18,verified,false,https://www.commanders.com/news/five-takeaways-redskins-offensive-coordinator-scott-turner-conference-call,https://www.commanders.com/news/scott-turner-to-call-plays-from-sideline-rather-than-booth-for-commanders,Five takeaways from Scott Turner's conference call,Washington Commanders,2020-05-27,official_team,initial caller designation and 2022 retrospective continuity,Official material identifies Turner as caller and later describes 2022 as his third season calling Washington's offense.,true,true,true,false,false,,The multi-season retrospective covers the complete 2021 season.,high,accepted
6,mandatory_top10,6,2020,PHI,Doug Pederson,provisional,provisional,coach-doug-pederson,Doug Pederson,1,17,provisional,false,https://www.philadelphiaeagles.com/news/eagles-looking-for-solutions-to-slow-starting-offense,https://www.philadelphiaeagles.com/news/duffy-what-i-learned-from-the-all-22-saints-edition,Eagles looking for solutions to slow-starting offense,Philadelphia Eagles,2020-12-04,official_team,late-season play-calling discussion,Pederson is directly identified with the calls but the source also describes distributed input and does not prove uninterrupted weekly responsibility.,true,false,false,false,true,The staff's shared input prevents a defensible sole-caller interval.,No title inference was used; the full season remains provisional.,possible,rejected_full_verification
7,mandatory_top10,7,2022,LV,Josh McDaniels,provisional,verified,coach-josh-mcdaniels,Josh McDaniels,1,18,verified,false,https://www.raiders.com/audio/why-josh-mcdaniels-stayed-patient-while-building-coaching-staff-nfl-combine-2022,https://www.raiders.com/news/quick-hits-josh-mcdaniels-raiders-reflect-on-the-2022-season,Why Josh McDaniels stayed patient while building coaching staff,Las Vegas Raiders,2022-03-02,official_team,preseason caller plan and season-ending self-review,McDaniels entered as the offensive caller and reviewed his 2022 play-calling after Week 18 with no sourced handoff.,true,true,true,false,false,,Boundary evidence supports the complete season.,high,accepted
