source_code,url,secondary_url,title,publisher,publication_date,source_family,evidence_locator,evidence_summary,archive_url,archive_date
ind21,https://www.colts.com/news/mailbag-frank-reich-playcalling-mike-strachan-new-york-jets-week-9-ty-hilton,https://www.colts.com/news/jonathan-taylor-bill-belichick-frank-reich-patriots-week-15,Colts Mailbag: Frank Reich playcalling,Indianapolis Colts,2021-11-03,official_team,midseason and Week 15 coverage,Reich is explicitly discussed as the current caller in the middle and late portions of 2021,,
den21,https://www.denverbroncos.com/news/oc-pat-shurmur-expected-to-miss-phivsden-due-to-covid-19-protocols,https://www.denverbroncos.com/news/the-biggest-questions-that-will-determine-if-the-broncos-can-make-a-playoff-push,Pat Shurmur expected to miss PHIvsDEN,Denver Broncos,2021-11-12,official_team,Week 10 exception and later return,Shurmur was the caller before and after the documented Week 10 Mike Shula exception,,
no22,https://www.nfl.com/news/saints-fire-offensive-coordinator-pete-carmichael-after-15-seasons,https://www.nfl.com/news/10-new-nfl-head-coaches-who-s-in-the-best-situation-for-2022-the-worst-let-s-ran,Saints fire offensive coordinator Pete Carmichael after 15 seasons,NFL,2024-01-16,nfl_reporting,retrospective tenure summary,The retrospective says Carmichael took over play calling when Payton left and called for the next two seasons,,
ind20,https://www.colts.com/news/frank-reich-philip-rivers-marcus-johnson-bye-week-1-on-1-2020,https://www.colts.com/news/frank-reich-takeaways-2020-nfl-scouting-combine-draft,Frank Reich one-on-one: bye week evaluations,Indianapolis Colts,2020-10-23,official_team,preseason designation and midseason first-person account,Official material identifies Reich as the 2020 caller before the season and during it,,
ten22,https://www.tennesseetitans.com/news/tuesday-mailbag-jim-wyatt-answers-questions-from-titans-fans-after-sunday-s-loss,https://www.tennesseetitans.com/news/tuesday-mailbag-titans-fans-share-their-thoughts-on-sunday-s-season-opening-loss,Tuesday Mailbag: Todd Downing calls plays,Tennessee Titans,2022-11-08,official_team,opening and late-season caller discussion,Team coverage identifies Downing as caller early and late in 2022,,
car22,https://www.panthers.com/news/postgame-transcripts-week-1-vs-cleveland,https://www.panthers.com/news/ask-the-old-guy-putting-the-band-back-together,Postgame transcripts Week 1 vs Cleveland,Carolina Panthers,2022-09-11,official_team,Week 1 and Week 16 caller confirmation,McAdoo is explicitly identified as the caller at the start and late in 2022,,
lv21,https://www.raiders.com/news/raiders-players-staying-focused-on-denver-eyeing-a-divisional-road-win,https://www.nfl.com/news/raiders-show-resilience-after-trying-week-with-decisive-win-over-broncos,Raiders players stay focused on Denver,Las Vegas Raiders,2021-10-13,official_team,Week 6 handoff,Olson took over playcalling after Gruden resigned following Week 5,,
nyj22,https://www.newyorkjets.com/news/jets-oc-mike-lafleur-we-have-to-keep-on-figuring-out-who-we-are,https://www.nfl.com/_amp/new-rams-oc-mike-lafleur-i-can-t-wait-to-start-building-relationship-with-qb-mat,Jets OC Mike LaFleur: We have to keep figuring out who we are,New York Jets,2022-10-27,official_team,midseason and retrospective tenure statement,LaFleur is identified as the Jets caller and the later retrospective covers his Jets tenure,,
phi21,https://www.philadelphiaeagles.com/audio/episode-351-shane-steichen-calling-plays-in-2022,,Shane Steichen calling plays in 2022,Philadelphia Eagles,2022-06-03,official_team,retrospective without exact handoff week,The source says Steichen took over midway through 2021 but does not establish a weekly boundary,,
nyg21,https://www.giants.com/news/jason-garrett-relieved-of-duties-as-offensive-coordinator-new-york-giants,https://www.giants.com/news/qb-daniel-jones-neck-injury-report-status-updates-miami-dolphins-saquon-barkley,Jason Garrett relieved of duties,New York Giants,2021-11-23,official_team,post-Week 11 handoff,The firing and follow-up identify Kitchens as caller beginning in Week 12,,
nyj21,https://ktvz.com/sports/ap-national-sports/2022/01/06/first-season-with-jets-a-learning-experience-for-oc-lafleur/,https://www.newyorkjets.com/news/jets-oc-mike-lafleur-we-have-to-keep-on-figuring-out-who-we-are,First season with Jets a learning experience for OC LaFleur,Associated Press,2022-01-06,major_reporting,full-season retrospective,The season-end retrospective describes LaFleur improving as playcaller throughout his first Jets season,,
lv20,https://www.4for4.com/2020/preseason/how-play-calling-tendencies-affect-fantasy-football-2020,,How Play-Calling Tendencies Affect Fantasy Football,4for4,2020-08-26,major_reporting,preseason designation only,The preseason table identifies Gruden but no later source established full-season continuity,,
pit20,https://www.steelers.com/news/best-of-asked-and-answered-friday-november-27,https://www.steelers.com/news/can-you-hear-me-now,Asked and Answered: November 27,Pittsburgh Steelers,2020-11-27,official_team,midseason and final-week caller references,Fichtner is explicitly treated as the caller in November and speaks from the caller perspective in Week 17,,
hou22,https://www.houstontexans.com/news/transcripts-9-22-2022-press-conferences,https://www.houstontexans.com/news/transcripts-11-23-2022-press-conferences,Texans transcripts: September 22,Houston Texans,2022-09-22,official_team,early and late first-person caller questions,Hamilton answers explicit play-calling questions in September and November,,
mia20,https://www.miamidolphins.com/news/top-news-dolphins-announce-captains-starting-quarterback,https://www.miamidolphins.com/news/miami-dolphins-top-10-plays-of-2020,Dolphins announce captains and starting quarterback,Miami Dolphins,2020-09-08,official_team,opening caller interview and season retrospective,Gailey discusses his play calling before Week 1 and team retrospective credits his 2020 calls,,
ne22,https://www.patriots.com/news/transcript-bill-belichick-press-conference-10-7,https://www.patriots.com/news/unfiltered-mailbag-where-has-the-patriots-offense-improved-in-the-first-three-we,Bill Belichick press conference October 7,New England Patriots,2022-10-07,official_team,contemporaneous ambiguity and retrospective description,Patricia relayed calls but the contemporaneous source would not establish exclusive responsibility,,
nyg20,https://www.giants.com/news/jason-garrett-to-call-plays-joe-judge-pittsburgh-steelers-dallas-cowboys,https://www.giants.com/news/jason-garrett-tests-positive-for-covid-19-freddie-kitchens-to-call-plays-vs-brow,Jason Garrett returns to roots as play caller,New York Giants,2020-09-07,official_team,opening designation and Week 15 exception,Garrett was designated caller with a documented one-game Kitchens exception and official return,,
espn17,https://www.espn.com/nfl/story/_/page/32for32x17115/nfl-2017-playcallers-all-32-nfl-teams-how-their-offense-ranks,,The playcallers for all 32 teams and where their offenses rank,ESPN,2017-11-15,major_reporting,through Week 10,The all-team report establishes identities and bounded responsibilities through Week 10 only,,
hou20,https://www.nfl.com/news/texans-change-how-they-call-plays-with-bill-o-brien-more-involved,https://www.houstontexans.com/news/oc-tim-kelly-discusses-new-role-as-play-caller-in-2020,Texans change how they call plays,NFL,2020-10-01,nfl_reporting,Weeks 1 to 4 and provisional later interval,Kelly called Weeks 1 to 3 and shared Week 4 responsibility with O'Brien while the exact later split remains unresolved,,
cle_multi,https://www.clevelandbrowns.com/news/ken-dorsey-to-call-plays-moving-forward-news-notes,,Ken Dorsey to call plays moving forward,Cleveland Browns,2024-10-23,official_team,retrospective tenure statement,The team says Stefanski had called plays since becoming head coach in 2020 until the 2024 handoff,,
phi20,https://www.philadelphiaeagles.com/news/eagles-looking-for-solutions-to-slow-starting-offense,https://www.philadelphiaeagles.com/news/spadaro-season-ends-with-a-20-14-loss-and-a-lot-to-talk-about,Eagles looking for solutions to slow-starting offense,Philadelphia Eagles,2020-12-04,official_team,late-season first-person confirmation and final game continuity,Pederson says he is the current caller in December and remained head coach through the final game,,
was20,https://www.commanders.com/news/five-takeaways-redskins-offensive-coordinator-scott-turner-conference-call,https://media.washington.1rmg.com/wp-content/uploads/2020/11/23115441/WAS-DAL_Week-12_at_DAL.pdf,Five takeaways from Scott Turner conference call,Washington Commanders,2020-06-10,official_team,preseason designation through Week 12,Turner says he would call games and the Week 12 release attributes a call to him but no later continuity source was recovered,,
pit21,https://www.steelers.com/news/asked-and-answered-dec-9-x5922,,Asked and Answered: December 9,Pittsburgh Steelers,2021-12-09,official_team,shared quarterback autonomy ambiguity,The source says it is not certain when Canada or Roethlisberger supplied individual calls,,
ten21,https://www.tennesseetitans.com/news/new-titans-oc-todd-downing-looking-for-continued-improvement-in-preseason-opener,https://www.newyorkjets.com/news/todd-downing-will-be-the-main-voice-in-the-jets-qb-room,New Titans OC Todd Downing looks for improvement,Tennessee Titans,2021-08-12,official_team,preseason designation plus later official retrospective,The Titans source establishes Downing's preseason role and the Jets biography explicitly says he called plays for Tennessee in 2021-22,,
ari22,https://www.azcardinals.com/news/cardinals-gm-steve-keim-talks-own-responsibility-coach-kliff-kingsbury,https://arizonasports.com/nfl/arizona-cardinals/kliff-kingsbury-will-remain-arizona-cardinals-play-caller-vs-vikings,Steve Keim talks responsibility and Kliff Kingsbury,Arizona Cardinals,2022-11-11,official_team,late-season explicit caller and continuation report,Kingsbury is explicitly identified as caller and retained the responsibility after a public review,,
pit22,https://www.nfl.com/news/steelers-fire-offensive-coordinator-matt-canada-amid-fourth-season-with-team,,Steelers fire offensive coordinator Matt Canada,NFL,2023-11-21,nfl_reporting,retrospective full-run statement,The retrospective describes the entirety of Canada's run as playcaller including 2022,,
ne12,https://www.patriots.com/news/josh-mcdaniels-conference-call-transcript-182726,https://www.patriots.com/news/josh-mcdaniels-conference-call-transcript-10-15-2012,Josh McDaniels conference call transcript,New England Patriots,2012-09-25,official_team_archive,game-specific and midseason statements,Archived transcripts show McDaniels making calls but do not explicitly establish every 2012 week,,
den13,https://www.denverbroncos.com/news/gase-s-offense-pedal-to-the-metal-9380608,https://www.denverbroncos.com/news/three-keys-broncos-vs-titans-12073501,Gase offense pedal to the metal,Denver Broncos,2013-01-17,official_team_archive,preseason designation and December confirmation,Gase is designated caller before the season and explicitly remains in that role in December,,
bal18,https://www.baltimoreravens.com/news/late-for-work-10-1-that-was-sweet-really-sweet-how-did-the-ravens-do-it,,Late for Work October 1,Baltimore Ravens,2018-10-01,official_team_archive,game-specific caller evidence,Mornhinweg is explicitly credited for calls in one game but the source does not establish the full season,,
phi14,https://www.philadelphiaeagles.com/news/quotes-oc-pat-shurmur-13945106,https://www.philadelphiaeagles.com/video/kellystrator-week-15-14564602,Quotes: OC Pat Shurmur,Philadelphia Eagles,2014-10-07,official_team_archive,midseason and Week 15 descriptions,Kelly is identified as caller in October and present in Week 15 but opening continuity is not explicit,,
hou15,https://www.houstontexans.com/news/qbs-ready-for-godsey-as-new-play-caller-15477574,https://www.houstontexans.com/news/texans-quotes-december-23-16571007,QBs ready for Godsey as new play caller,Houston Texans,2015-07-10,official_team_archive,preseason designation and late staff presence,Godsey was designated caller but the late source does not explicitly resolve O'Brien's continuing involvement,,
was13,https://www.commanders.com/news/kyle-shanahan-full-transcript-06-12-10334833,https://www.commanders.com/news/kyle-shanahan-full-transcript-10-24-11624600,Kyle Shanahan full transcript,Washington Commanders,2013-06-12,official_team_archive,preseason and midseason caller discussion,Shanahan discusses his caller role but no late-season continuity record was recovered,,
buf13,https://www.buffalobills.com/news/hackett-s-sideline-presence-helps-11869470,https://www.buffalobills.com/news/camp-countdown-will-the-passing-game-take-a-big-step-forward-13232446,Hackett sideline presence helps,Buffalo Bills,2013-11-17,official_team_archive,contemporaneous all-season statement plus retrospective,The source says Hackett had called all season and the 2014 retrospective calls him Buffalo's 2013 play caller,,
no16,https://www.nfl.com/_amp/saints-hc-sean-payton-tests-positive-for-covid-19-will-not-coach-vs-bucs,https://www.neworleanssaints.com/news/deffensive-and-offensive-coordinators-conference-calls-quotes-17932275,Saints head coach Sean Payton tests positive,NFL,2021-12-17,nfl_reporting,retrospective first ten games,Carmichael is explicitly credited with the first ten games of 2016 but the remaining weekly split is not established,,
hou13,https://www.houstontexans.com/news/calling-offensive-plays-without-gary-kubiak-11755314,https://www.houstontexans.com/news/texans-quotes-december-11-12125825,Calling offensive plays without Gary Kubiak,Houston Texans,2013-11-06,official_team_archive,Kubiak primary and bounded Dennison replacement,Kubiak was primary before his absence and Dennison called during documented replacement periods but exact return-week responsibility remains ambiguous,,
